Date2,Date3,Date1,Date,Close/Last,Volume,Open,High,Low
04-04-2018,04-04-2018,04-04-2018,2018/04/04,63.37,744010,63.59,63.64,62.06
04-05-2018,05-04-2018,04-05-2018,2018/04/05,63.54,575864,63.6,64.12,63.07
04-06-2018,06-04-2018,04-06-2018,2018/04/06,62.06,702077,63.7,63.79,61.81
04-09-2018,09-04-2018,04-09-2018,2018/04/09,63.42,616253,62,63.61,61.93
04-10-2018,10-04-2018,04-10-2018,2018/04/10,65.51,795630,63.3,65.86,63.2
04-11-2018,11-04-2018,04-11-2018,2018/04/11,66.82,923815,65.59,67.45,65.15
04-12-2018,12-04-2018,04-12-2018,2018/04/12,67.07,657000,66.75,67.33,66
04/13/2018,13-04-2018,04/13/2018,2018/04/13,67.39,605619,67.18,67.76,66.7
04/16/2018,16-04-2018,04/16/2018,2018/04/16,66.22,543828,67.24,67.74,66.13
04/17/2018,17-04-2018,04/17/2018,2018/04/17,66.52,472785,66.42,66.75,65.56
04/18/2018,18-04-2018,04/18/2018,2018/04/18,68.47,207210,66.68,68.91,66.56
04/19/2018,19-04-2018,04/19/2018,2018/04/19,68.29,89450,68.75,69.56,67.98
04/20/2018,20-04-2018,04/20/2018,2018/04/20,68.4,22739,68.26,68.62,67.5
04/23/2018,23-04-2018,04/23/2018,2018/04/23,68.64,712872,68.22,69.03,67.14
04/24/2018,24-04-2018,04/24/2018,2018/04/24,67.7,813881,68.95,69.38,67.54
04/25/2018,25-04-2018,04/25/2018,2018/04/25,68.05,751427,67.75,68.18,67.11
04/26/2018,26-04-2018,04/26/2018,2018/04/26,68.19,648550,68.03,68.78,67.71
04/27/2018,27-04-2018,04/27/2018,2018/04/27,68.1,521752,68.21,68.36,67.64
04/30/2018,30-04-2018,04/30/2018,2018/04/30,68.57,736814,68.15,69.34,67.17
05-01-2018,01-05-2018,05-01-2018,2018/05/01,67.25,677812,68.56,68.9,66.85
05-02-2018,02-05-2018,05-02-2018,2018/05/02,67.93,775070,67.49,68.14,66.92
05-03-2018,03-05-2018,05-03-2018,2018/05/03,68.43,680114,67.68,68.6,67.21
